Title,Price,Type,Description
Toyota Camry 2013 Black,"_ 16,000,000",Foreign Used,2013 accident free Toyota venza. location is G. R. A Ogudu /Ojota.
Toyota Highlander SE 4x4 V6 (3.5L 6cyl 8A) 2018 Gray,"_ 35,950,000",Foreign Used,"Very clean car
Low mileage 
Thumbstart
Very sound engine and transmission"
Lexus RX 350 AWD 2015 Red,"_ 28,000,000",Foreign Used,Lexus RX 350 2015 model very clean tincan cleard accident free start and drive full option red...
Hyundai Sonata 2015 Silver,"_ 13,200,000",Foreign Used,"Non accidental 2015 Hyundai Sonata, clean interior, chilling ac, sound engine, and good..."
Toyota 4-Runner 2001 Silver,"_ 5,950,000",Foreign Used,"First Body,Good Engine Sound,No Mechanical issues,Everything Working Perfectly Fine,Accident..."
Lexus IS 250 2010 White,"_ 9,700,000",Foreign Used,Brand New Standard. Complete Custom Papers Available. All Body parts are in excellent condition. AC...
Toyota Highlander V6 4x4 2005 Gold,"_ 10,800,000",Foreign Used,"Sharp Toyota Highlander 2005 model... 
Accident free car 
Gold color on cream leather interior......"
Mercedes-Benz M Class 2014 Gray,"_ 29,500,000",Foreign Used,2014 ML350 FACELIFTS to GLE350 2917 available for just 29.5M
Lexus RX 2015 Burgundy,"_ 25,500,000",Foreign Used,"Super Clean, Extra sharp & Fully Loaded 2014 Lexus RX 350! Premium features include Thumbstart..."
Mercedes-Benz GLS-Class 2018 White,"_ 65,000,000",Foreign Used,"Foreign used, direct tokunbo"
Toyota Camry 2013 Black,"_ 15,500,000",Foreign Used,"Toyota Camry XLE 2013 model, factory leather. Is Ton start, keyless. Is accident-free with a good..."
Toyota Highlander 2005 Gray,"_ 5,824,000",Local Used,
Lexus RX 350 AWD 2017 Black,"_ 44,000,000",Foreign Used,"Direct Belgium  2017 Rx350 everything  Belgium 44,000,000 million"
Acura MDX 2010 Black,"_ 12,000,000",Foreign Used,2010 black Acura MDX foreign used car with fully duty paid tin can cleared buy and drive nothing to...
New Lexus LX 2023 Black,"_ 358,000,000",Brand New,Brand new 2023 Lexus lx600 ultra luxury vip 4seater available for sale. Comes with full option...
Toyota Corolla 2004 Blue,"_ 2,800,000",Local Used,"Super clean with sound engine and gear with chilling ac and all features functioning perfectly,pls..."
Lexus RX 2008 Silver,"_ 12,500,000",Foreign Used,"Very clean car pure tokumbo, accident free, clean interior exterior and underneath, complete custom..."
Volkswagen Passat 2.0 Automatic 2005 Red,"_ 2,250,000",Local Used,"Neatly used Volkswagen passat 2004 model. Accident free.
Engine & gearbox 100%
Ac freezing.
Custom..."
Toyota Camry 2004 Blue,"_ 3,850,000",Local Used,"The car is neatly baked on first body,good engine,gear and ac... location is ile ife,swapping os..."
Mercedes-Benz G-Class G 63 AMG 2021 Black,"_ 358,000,000",Foreign Used,Just Arrived Toks 2021 G63 AMG With Original Low Mileage ... Inspection and payment is welcome. 24/7...
Toyota Camry 2013 Red,"_ 13,800,000",Foreign Used,Toyota Camry red color 2013
Toyota Camry 2004 Green,"_ 7,800,000",Foreign Used,"Toyota Camry 2004 model LE V6 engine with factory dashboard and fabric seats, accident free car with..."
Opel Zafira 2002 Silver,"_ 4,500,000",Foreign Used,Opel Zafira automatic gear with AC complete chair with custom paper full duty paid drive and go
Toyota Camry 2012 Gray,"_ 12,500,000",Foreign Used,"*2012 CAMRY LE toks* just arrived... Engine, Gear and Ac 100% accident free... few minutes..."
Lexus RX 330 2005 Silver,"_ 10,000,000",Foreign Used,"LLagos cleared, duty fully paid, navigation system, reserve camera, bluetooth, dvd, leather seats,..."
Toyota Corolla 2010 Black,"_ 7,480,000",Local Used,Tincan cleared fuloption no issue buy n travel spotless accident free
Hyundai Elantra 2014 Silver,"_ 9,500,000",Foreign Used,"*_F_O_R_T_E_ _A_U_T_O_S_*
HYUNDAI ELANTRA 2014
* Foreign used 
* Android navigation
* Color: Silver..."
Mercedes-Benz M Class 2014 White,"_ 32,000,000",Foreign Used,"In good and perfect condition Mercedes Benz 2014 model ML350, full option,panoramic roof,excellent..."
Mazda CX-9 2014 Gray,"_ 12,350,000",Foreign Used,_____ ________ 2013 _____ _x-9 _____ _______. _____s____ ________. __________ s_s___. _____s_...
Lexus RX 350 AWD 2017 Silver,"_ 44,800,000",Foreign Used,"Foreign Used Lexus Rx350 2017 model, accident free, full option with keyless, reverse camera,..."
Honda Accord 2016 Gray,"_ 19,500,000",Foreign Used,"Newly arrived Honda accord 2016 model ,
Automatic transmission 
Very clean gray color ,
Accident..."
New Toyota Land Cruiser 2023 Black,"_ 180,000,000",Brand New,"Fresh off the boat ... 
Brand New Toyota Landcruiser Jeep... 
Mint condition wit all accessories..."
Lexus RX 330 4WD 2005 Gold,"_ 11,000,000",Foreign Used,Car working perfectly fine with no fault and sound engine custom duty fully paid and test drive car...
Lexus RX 350 AWD 2018 Gold,"_ 55,000,000",Foreign Used,"Foreign used Lexus Rx350 2018 model accident free, first body unpainted with a factory navigation..."
Mercedes-Benz GLK-Class 350 4MATIC 2013 Black,"_ 17,500,000",Foreign Used,"Lagos Cleared And Duty Fully Paid, Navigation System, Reverse Camera, DVD, Panoramic Roof, Leather..."
Ford F-150 FX4 2012 Black,"_ 42,000,000",Foreign Used,"Ford 150 fx4 2012 model upgraded to 2020 mode. 
 Accident free, custom duty fully paid, reverse..."
Lexus RX 350 2010 White,"_ 21,900,000",Foreign Used,"Foreign LEXUS RX350 2010 full option thumbstart keyless Luxury car extremely clean New arrival, with..."
Honda Accord 2013 White,"_ 13,500,000",Foreign Used,Unpainted with no accident history. Buy and register with zero thing to fix
Mercedes-Benz M Class ML 350 4Matic 2012 Black,"_ 24,500,000",Foreign Used,"Foreign used Mercedes Benz ML350 2012model
Accident free,first body paint,new entry,DVD,reverse..."
Mercedes-Benz G-Class 2017 White,"_ 47,250,000",Local Used,Bullet proof 2006 G-wagon upgraded to 2017 everything working perfectly nothing to fix buy and...
Lexus GX 460 Base 2014 Black,"_ 32,000,000",Local Used,Super clean and neatly used Gx460 2014 model.
Pontiac Torrent 2009 Gray,"_ 3,700,000",Local Used,"Pontiac torrent 
Model 2008"
Toyota Corolla Altis 2007 Silver,"_ 2,782,500",Local Used,
Hyundai Veracruz Limited 4WD 2008 Gray,"_ 5,650,000",Local Used,Hyundai Veracruz 08 Nigeria used very very clean car in and out everything is working perfectly no...
Toyota Camry 2.4 LE 2008 Gray,"_ 8,500,000",Foreign Used,"Engine very perfect, gear top notch. Ac chilling, drives smoothly"
Honda Accord Aerodeck 1991 Black,"_ 1,200,000",Local Used,"Honda Accord sedan 1991 model automatic transmission, everything perfect, engine and transmission..."
Toyota Corolla 2015 Silver,"_ 14,300,000",Foreign Used,Foreign used 2015 Toyota corolla for 14.3m
Toyota RAV4 Limited 2008 Black,"_ 7,500,000",Local Used,"Toyota RAV4 Limited, Clean Leather Interior, Freezing Air Conditioning, Radio and CD Player,..."
New Toyota Hilux 2023 Black,"_ 91,500,000",Brand New,Just cleared fresh from the port brandnew hilux GR sport 2023model available FORSALE with 8million...
New Mercedes-Benz S-Class 2023 Black,"_ 360,000,000",Brand New,"Brand New 2023 Mercedes-Benz S580 available for sale. Comes with full option features and more, all..."
Toyota Highlander Limited V6 2007 Silver,"_ 5,500,000",Local Used,"Neatly used Toyota Highlander 2007.
This car is as good as direct Belgium
It's a three seater..."
Toyota Corolla 1.8 TS 2004 Beige,"_ 4,300,000",Foreign Used,"Direct tokumbo, accident free, tincan cleared, working perfectly ok"
Toyota Venza LE FWD 2013 White,"_ 19,000,000",Foreign Used,"100% clean title Toyota Venza 2013 model LE.
Lagos Tincan cleared no dent with full custom duty..."
Toyota Corolla 2017 Blue,"_ 18,300,000",Foreign Used,"Thumbstart, buy and drive, accident free, leather seats, open roof, 4 plugs"
Toyota Corolla Sedan 1998 Gold,"_ 2,500,000",Local Used,Second body + accident free + sound 4 plug engine + fuel saver + very smooth gear selection + Ac is...
Mercedes-Benz M Class ML 350 4Matic 2008 Gold,"_ 5,700,000",Local Used,"Extremely Clean And Sound Mercedes Benz ml350 2008 Model. Registered, first body paint, Excellent..."
BMW X6 2010 Red,"_ 14,500,000",Foreign Used,"Superclean. Not registered. BMW X6, Ac working, Sound system working, Panoramic roof, leather..."
Nissan Altima 2.5 S Sedan 2012 Gray,"_ 4,000,000",Local Used,"Extremely clean, 
nissan altima s, 
registered,
keyless entry,
untampered engine,
no check..."
Hyundai I10 2012 Red,"_ 3,700,000",Local Used,"Neatly used Hyundai i10 
Has fuel economy very well"
Toyota Corolla LE Eco (1.8L 4cyl 2A) 2018 Gray,"_ 15,400,000",Foreign Used,"Distress Sales... Foreign-used 2018 Toyota Corolla with a rearview camera, perfect engine, and gear..."
Mercedes-Benz GLK-Class 350 4MATIC 2013 Red,"_ 22,000,000",Foreign Used,"Mercedes Benz glk350 2013/2014 model full option keyless with panoramic roof, factory dashboard and..."
New Lexus LX 2023 Black,"_ 300,000,000",Brand New,"_The brand new 2023 Lexus Lx600 With full duty paid. 360 camera, and more. This car is selling for..."
Toyota Avalon 2008 Black,"_ 4,200,000",Local Used,"First body pan 
Untouched engine 
Prefect Gear 
Ac  
Interior and exterior very neat 
Complete..."
Toyota Highlander 2014 White,"_ 36,500,000",Foreign Used,Foreign used... 2014 Toyota Highlander... Limited edition... accident free... is available for...
Honda Accord 2014 Black,"_ 15,300,000",Foreign Used,"*sparkling mint direct belgium honda accord 2014 v4 keyless with fullest option#15,300,000million..."
Mercedes-Benz E350 2015 Black,"_ 22,500,000",Foreign Used,"Super clean accident free German machine Mercedes Benz E350 with keyless , cream leather seats ,..."
Toyota Corolla CE 2005 White,"_ 7,800,000",Foreign Used,Car is it a perfect toks condition
Ford Escape XLS Automatic 2009 Gray,"_ 3,850,000",Local Used,Super clean working perfectly fine ford escape buy and drive working perfectly fine
Toyota Corolla 2003 Silver,"_ 4,500,000",Local Used,Clean 2003 Toyota Corolla S in a perfect condition with original custom duty
Hyundai Sonata 2011 Green,"_ 10,700,000",Foreign Used,"Foreign used Hyundai Sonata, with custom duty fully paid, factory navigation system and reverse..."
Toyota Sienna LE 2008 Silver,"_ 9,200,000",Foreign Used,"Foreign Used Toyota Sienna 2008 Le
First Body
Accident free
No Issues at all 
Going for..."
Toyota Highlander 2012 Black,"_ 17,700,000",Foreign Used,"Toyota Highlander, 2012 model, leather seats, factory navigation system with reverse camera, power..."
Lexus GX 2011 Gray,"_ 38,000,000",Foreign Used,"Call or WhatsApp me Right away, if this cuteness appeals to you"
Hyundai Santa Fe 2014 Silver,"_ 12,480,000",Local Used,Accident free no issues keyless fuloption first body tincan cleared few months used extreamly sharp
Toyota Camry 2008 Blue,"_ 6,450,000",Local Used,"Available  
2008 Toyota Camry XLE
Thumbstart"
Toyota Matrix 2010 Silver,"_ 8,000,000",Foreign Used,"Lagos cleared, duty fully paid, fabric seats, formica, am/fm radio, spare tyre, front and back..."
Mercedes-Benz GLE-Class GLE 350 2018 Black,"_ 45,000,000",Foreign Used,"Foreign used accident free 2018 model MB GLE 350,full option with black on cream interiors..."
Lexus ES 350 2010 Gray,"_ 8,300,000",Local Used,"*quick sale awoof deal*
 registered 
2010 model lexus es350 full option. neatly
*flashed on  first..."
Toyota Venza 2009 White,"_ 19,000,000",Foreign Used,"Foreign used Toyota Venza 2009
Follow us iilautomobiles on IG, FB, Insta, X, Threads.
#viral..."
Toyota Highlander XLE AWD 2023 Green,"_ 78,000,000",Foreign Used,Foreign used clean Toyota Highlander XLE
Toyota Highlander 2013 Gray,"_ 9,150,000",Local Used,2013 Highlander currently in use with absolutely nothing to fix
Toyota Venza 2014 Black,"_ 18,500,000",Foreign Used,2014 Toyota Venza for sale just landed from USA super clean Venza
Mercedes-Benz C300 2013 White,"_ 14,800,000",Foreign Used,"*clean title benz*
 *pristine foreign used 2013 mercedes benz c300* with custom duty paid in an..."
Mercedes-Benz GLK-Class 350 4MATIC 2012 Gray,"_ 17,000,000",Foreign Used,"Gray color 2012 foreign used mercedes benz GLK350 with cd/mp3/dvd, no dent, accident free, lagos..."
Mercedes-Benz M Class ML 550 4Matic 2012 Gray,"_ 26,500,000",Foreign Used,"Tokunbo Mercedes Benz ML 350 4Matic,full option,thumb start,reverse camera,gray colour,silver..."
Lexus RX 350 2013 Blue,"_ 26,500,000",Foreign Used,"100 percent accident free Lexus RX350 2013 full option
Reverse camera
Keyless entry
Mouse
Panoramic..."
Toyota Sienna 2006 Blue,"_ 5,450,000",Local Used,"Nigerian used Toyota Sienna 2006 model with very sound engine, sharp gear and a very clean interior..."
Mercedes-Benz GLK-Class 350 2011 Black,"_ 16,300,000",Foreign Used,2011 direct belgium  glk350 with recent duty double panoramic view!!powerboot!!collision assist and...
BMW 7 Series 2011 White,"_ 13,000,000",Foreign Used,"2012 BMW 7 series
Super clean
Super sound
Documents intact
Cone for inspection!"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2018 Red,"_ 78,000,000",Foreign Used,"Luxury deal! 
Direct Belgium 
MERCEDES BENZ GLE 63s
With 360° camera.
Full duty paid"
Kia Sorento EX 4dr SUV (3.3L 6cyl 6A) 2015 Silver,"_ 18,800,000",Foreign Used,"Foreign use, Kia sorento EX 2015, silver on black interior, navigation and Bluetooth system,..."
Lexus RX 2010 Black,"_ 20,300,000",Foreign Used,Very clean Tokunbo Rx350 for sale with no issue or any issues to fix. Will give you the best deal on...
Lexus RX 350 FWD 2018 Gray,"_ 48,500,000",Foreign Used,"New entry 
Foreign used 
Rx 350 2018 
Buy and drive"
Toyota Matrix 2009 Gold,"_ 10,500,000",Foreign Used,First body & accident free & sound 4 plug engine & fuel saver & very smooth gear selection & Ac is...
Honda CR-V EX 4dr SUV (2.4L 4cyl 5A) 2012 Black,"_ 14,000,000",Foreign Used,Good to drive and sound cool and perfectly okay.
Toyota Camry 2008 Black,"_ 9,500,000",Foreign Used,"Direct Belgium 
Toyota Camry 
2008 model 
Sport edition 
All components are intact"
Toyota Camry 2010 White,"_ 6,700,000",Local Used,Toyota Camry XLE with VENZA Engine very sharp just buy and drive
Kia Rio 2022 Silver,"_ 11,980,000",Local Used,"Bought brand new registered KIA RIO 2022.
61k mileage 
Super soup 
Location ikoyi
Price 11.980
Ug"
Mercedes-Benz M Class 2014 White,"_ 23,000,000",Foreign Used,Foreign used Ml 350 2014 buy and drive
Toyota Highlander 2015 Gray,"_ 29,000,000",Foreign Used,Buy and Drive Highlander 2015 with Everything intact
Cadillac SRX 2012 Gray,"_ 14,000,000",Foreign Used,DIRECT BELGIUM CADILLAC SRX 2012 WITH ORIGINAL CAR IS JUST BUY & DRIVE LOCATION KADUNA
Toyota Camry XSE (2.5L 4cyl 8A) 2019 Burgundy,"_ 31,000,000",Foreign Used,Accident free. Full option with Thumbstart. Perfect condition. Engine gear and Ac working perfectly....
Mercedes-Benz G-Class Base G 55 AMG 4x4 2007 Silver,"_ 34,000,000",Local Used,"Registered but not used 2007 G55 AMG 
Just like Toks"
Lexus LX 570 2010 Black,"_ 70,000,000",Foreign Used,Come check out this super duper sharp 2010 Lx570 Upgraded to 2021 fullest option with everything...
Lexus GX 460 2011 Black,"_ 24,000,000",Local Used,"Lexus GX 460 2011 but upgraded to 2017
Car is super sound and working perfectly. Buy and drive"
Honda Pilot 2011 Silver,"_ 5,000,000",Local Used,"Everything is working perfectly including Ac, the car is just like direct Belgium, sharpest grade,..."
Mazda CX-9 Grand Touring 4WD 2008 Black,"_ 10,550,000",Foreign Used,Extremely clean accident free wt navigation reverse camera Bluetooth clean 7seaters leather interior...
Toyota Venza V6 AWD 2012 Silver,"_ 19,500,000",Foreign Used,Very good condition sweet ride foreign used toyota venza 2012 full options intact at a good deal
Toyota Camry 2007 Silver,"_ 5,200,000",Local Used,"Well maintained Toyota Camry 2007
Very sound Engine and Gear 
Ac is working perfectly 
Absolutely..."
New Toyota Land Cruiser 2023,"_ 171,000,000",Brand New,"2023 Toyota Landcruiser VXR 4.0L Regular, Duty."
Lexus GX 460 Luxury 2016 Black,"_ 28,000,000",Local Used,"Clean 2016 direct, upgraded to 2022. First body, clean interior and exterior. Zero issues"
Mercedes-Benz GLC-Class 2016 Blue,"_ 38,000,000",Foreign Used,"Extremely clean and 2016 Foreign used Mercedes benz GLC300
Properly documented 
With original custom..."
Honda Accord 2007 Gray,"_ 3,400,000",Local Used,Clean perfect honda Dc
Honda Accord 2014 White,"_ 16,000,000",Foreign Used,2015 honda accord touring fullest option foreign used with original custom duty going for just...
Mercedes-Benz GLC-Class 2018 White,"_ 37,000,000",Foreign Used,"Newly arrived Mercedes benz glc300,2018 model,white colour, alloy wheel, leather seat, ac with cd..."
Mercedes-Benz E53 AMG AMG E 53 4MATIC+ 2021 Silver,"_ 155,000,000",Foreign Used,"2021 mercedes-benz e53 amg with genuine custom duty paid  
luxurious and comfortable"
Honda Jazz 2005 Black,"_ 3,050,000",Local Used,Honda jazz in good condition
